Temps;temps_ms;Temps_acquisition;Ancre;X;Y;Z;Precision %;Temps_s;Position erreur
00:00:00.000;0;0;49A1;2.15;8.85;0.0;77;0.0;0.5
00:00:00.000;0;0;49A2;0.0;0.0;0.0;77;0.0;0.5
00:00:00.000;0;0;49A5;0.0;0.0;0.0;77;0.0005168914794921875;0.5
00:00:00.000;0;0;49A6;0.0;0.0;0.0;77;0.0;0.5
00:00:00.001;1;1;49A3;0.0;0.0;0.0;77;0.0010380744934082031;0.5
00:00:00.001;1;1;49A4;0.0;0.0;0.0;77;0.0010085105895996094;0.5
00:00:00.100;100;100;49A1;2.15;8.85;0.0;77;0.10086774826049805;0.5
00:00:00.101;101;101;49A5;0.0;0.0;0.0;77;0.10149812698364258;0.5
00:00:00.101;101;101;49A6;0.0;0.0;0.0;77;0.10127615928649902;0.5
00:00:00.102;102;102;49A2;0.0;0.0;0.0;77;0.10250353813171387;0.5
00:00:00.102;102;102;49A3;0.0;0.0;0.0;77;0.10218167304992676;0.5
00:00:00.102;102;102;49A4;0.0;0.0;0.0;77;0.10234546661376953;0.5
00:00:00.202;202;202;49A3;0.0;0.0;0.0;77;0.2029569149017334;0.5
00:00:00.202;202;202;49A4;0.0;0.0;0.0;77;0.20272040367126465;0.5
00:00:00.203;203;203;49A1;2.15;8.85;0.0;77;0.20330381393432617;0.5
00:00:00.203;203;203;49A5;0.0;0.0;0.0;77;0.2030467987060547;0.5
00:00:00.203;203;203;49A6;0.0;0.0;0.0;77;0.20306825637817383;0.5
00:00:00.204;204;204;49A2;0.0;0.0;0.0;77;0.2044074535369873;0.5
00:00:00.303;303;303;49A1;2.15;8.85;0.0;77;0.3037149906158447;0.5
00:00:00.303;303;303;49A4;0.0;0.0;0.0;77;0.30344414710998535;0.5
00:00:00.303;303;303;49A6;0.0;0.0;0.0;77;0.3033769130706787;0.5
00:00:00.304;304;304;49A2;0.0;0.0;0.0;77;0.30481743812561035;0.5
00:00:00.304;304;304;49A3;0.0;0.0;0.0;77;0.304135799407959;0.5
00:00:00.304;304;304;49A5;0.0;0.0;0.0;77;0.3043181896209717;0.5
00:00:00.403;403;403;49A4;0.0;0.0;0.0;77;0.4039616584777832;0.5
00:00:00.404;404;404;49A1;2.15;8.85;0.0;77;0.4044158458709717;0.5
00:00:00.404;404;404;49A3;0.0;0.0;0.0;77;0.4047420024871826;0.5
00:00:00.404;404;404;49A6;0.0;0.0;0.0;77;0.40409350395202637;0.5
00:00:00.405;405;405;49A2;0.0;0.0;0.0;77;0.40592098236083984;0.5
00:00:00.405;405;405;49A5;0.0;0.0;0.0;77;0.40518879890441895;0.5
00:00:00.504;504;504;49A1;2.15;8.85;0.0;77;0.5046749114990234;0.5
00:00:00.504;504;504;49A4;0.0;0.0;0.0;77;0.5044996738433838;0.5
00:00:00.504;504;504;49A6;0.0;0.0;0.0;77;0.5045490264892578;0.5
00:00:00.505;505;505;49A3;0.0;0.0;0.0;77;0.5054078102111816;0.5
00:00:00.505;505;505;49A5;0.0;0.0;0.0;77;0.5057737827301025;0.5
00:00:00.506;506;506;49A2;0.0;0.0;0.0;77;0.5061845779418945;0.5
00:00:00.604;604;604;49A4;0.0;0.0;0.0;77;0.6047646999359131;0.5
00:00:00.604;604;604;49A6;0.0;0.0;0.0;77;0.6049869060516357;0.5
00:00:00.605;605;605;49A1;2.15;8.85;0.0;77;0.6052732467651367;0.5
00:00:00.605;605;605;49A3;0.0;0.0;0.0;77;0.6058487892150879;0.5
00:00:00.606;606;606;49A2;0.0;0.0;0.0;77;0.6064929962158203;0.5
00:00:00.606;606;606;49A5;0.0;0.0;0.0;77;0.6060903072357178;0.5
00:00:00.705;705;705;49A1;2.15;8.85;0.0;77;0.705594539642334;0.5
00:00:00.705;705;705;49A4;0.0;0.0;0.0;77;0.7050256729125977;0.5
00:00:00.705;705;705;49A6;0.0;0.0;0.0;77;0.7051475048065186;0.5
00:00:00.706;706;706;49A2;0.0;0.0;0.0;77;0.7067534923553467;0.5
00:00:00.706;706;706;49A3;0.0;0.0;0.0;77;0.7065010070800781;0.5
00:00:00.706;706;706;49A5;0.6;15.05;0.0;77;0.7065443992614746;0.5
00:00:00.805;805;805;49A1;2.15;8.85;0.0;77;0.8058934211730957;0.5
00:00:00.805;805;805;49A4;0.0;0.0;0.0;77;0.8055717945098877;0.5
00:00:00.805;805;805;49A6;0.4;16.05;0.0;77;0.8054523468017578;0.5
00:00:00.806;806;806;49A3;0.0;0.0;0.0;77;0.8067910671234131;0.5
00:00:00.807;807;807;49A2;0.0;0.0;0.0;77;0.8070664405822754;0.5
00:00:00.807;807;807;49A5;2.85;14.7;0.0;77;0.807924747467041;0.5
00:00:00.906;906;906;49A1;2.15;8.85;0.0;77;0.9062149524688721;0.5
00:00:00.906;906;906;49A4;1.45;9.25;0.0;77;0.9060895442962646;0.5
00:00:00.906;906;906;49A6;1.65;16.4;0.0;77;0.9065113067626953;0.5
00:00:00.907;907;907;49A2;0.25;2.25;0.0;77;0.9077832698822021;0.5
00:00:00.907;907;907;49A3;0.6;6.45;0.0;77;0.907095193862915;0.5
00:00:00.908;908;908;49A5;3.75;14.35;0.0;77;0.908588171005249;0.5
00:00:01.006;1006;1006;49A1;2.45;8.85;0.0;77;1.0066730976104736;0.5
00:00:01.007;1007;1007;49A4;4.45;9.1;0.0;77;1.0077924728393555;0.5
00:00:01.007;1007;1007;49A6;2.5;16.55;0.0;77;1.0073542594909668;0.5
00:00:01.008;1008;1008;49A2;0.6;2.25;0.0;77;1.0089390277862549;0.5
00:00:01.008;1008;1008;49A3;2.7;6.3;0.0;77;1.0083591938018799;0.5
00:00:01.009;1009;1009;49A5;4.1;14.15;0.0;77;1.0098774433135986;0.5
00:00:01.107;1107;1107;49A1;2.45;8.85;0.0;77;1.1074531078338623;0.5
00:00:01.108;1108;1108;49A4;6.55;9.1;0.0;77;1.1086931228637695;0.5
00:00:01.109;1109;1109;49A2;1.1;2.25;0.0;77;1.1096901893615723;0.5
00:00:01.109;1109;1109;49A3;3.9;5.75;0.0;77;1.1098387241363525;0.5
00:00:01.109;1109;1109;49A6;2.7;16.55;0.0;77;1.1090412139892578;0.5
